season,team,home_wins,away_wins,total_wins
2008/2009,Hertha BSC Berlin,12,7,19
2008/2009,Lazio,8,7,15
2008/2009,Leixões SC,5,7,12
2008/2009,Málaga CF,8,7,15
2008/2009,Paris Saint-Germain,12,7,19
2008/2009,Racing Santander,5,7,12
2008/2009,SV Zulte-Waregem,9,7,16
2008/2009,VfB Stuttgart,12,7,19
2009/2010,AS Nancy-Lorraine,6,7,13
2009/2010,Club Brugge KV,10,7,17
2009/2010,Girondins de Bordeaux,12,7,19
2009/2010,Grasshopper Club Zürich,14,7,21
2009/2010,Hamilton Academical FC,6,7,13
2009/2010,Juventus,9,7,16
2009/2010,KAA Gent,7,7,14
2009/2010,LOSC Lille,14,7,21
2009/2010,Lech Poznań,12,7,19
2009/2010,Tottenham Hotspur,14,7,21
2009/2010,Valenciennes FC,7,7,14
2009/2010,VfB Stuttgart,8,7,15
2009/2010,VfL Wolfsburg,7,7,14
2010/2011,1. FC Kaiserslautern,6,7,13
2010/2011,AZ,10,7,17
2010/2011,Atlético Madrid,10,7,17
2010/2011,BSC Young Boys,8,7,15
2010/2011,Chelsea,14,7,21
2010/2011,Hannover 96,12,7,19
2010/2011,Inverness Caledonian Thistle,7,7,14
2010/2011,Juventus,8,7,15
2010/2011,Kilmarnock,6,7,13
2010/2011,Lazio,13,7,20
2010/2011,Roda JC Kerkrade,7,7,14
2010/2011,Roma,11,7,18
2010/2011,Sevilla FC,10,7,17
2010/2011,Sporting CP,6,7,13
2010/2011,Tottenham Hotspur,9,7,16
2011/2012,AS Saint-Étienne,9,7,16
2011/2012,Bayer 04 Leverkusen,8,7,15
2011/2012,Club Brugge KV,12,7,19
2011/2012,FC Schalke 04,13,7,20
2011/2012,FC Zürich,4,7,11
2011/2012,Girondins de Bordeaux,9,7,16
2011/2012,Inter,10,7,17
2011/2012,KAA Gent,10,7,17
2011/2012,Lazio,10,7,17
2011/2012,Legia Warszawa,8,7,15
2011/2012,RSC Anderlecht,13,7,20
2011/2012,Ruch Chorzów,9,7,16
2011/2012,SC Braga,12,7,19
2011/2012,SL Benfica,14,7,21
2011/2012,Servette FC,7,7,14
2011/2012,Tottenham Hotspur,13,7,20
2011/2012,West Bromwich Albion,6,7,13
2012/2013,Bayer 04 Leverkusen,12,7,19
2012/2013,Club Brugge KV,8,7,15
2012/2013,Dundee United,4,7,11
2012/2013,FC Basel,14,7,21
2012/2013,FC St. Gallen,10,7,17
2012/2013,FC Twente,10,7,17
2012/2013,FC Zürich,9,7,16
2012/2013,Feyenoord,14,7,21
2012/2013,LOSC Lille,9,7,16
2012/2013,Lechia Gdańsk,3,7,10
2012/2013,Liverpool,9,7,16
2012/2013,OGC Nice,11,7,18
2012/2013,RAEC Mons,6,7,13
2012/2013,Rayo Vallecano,9,7,16
2012/2013,Real Betis Balompié,9,7,16
2012/2013,Rio Ave FC,5,7,12
2012/2013,SC Braga,9,7,16
2012/2013,Stade Rennais FC,6,7,13
2012/2013,Udinese,11,7,18
2012/2013,VfB Stuttgart,5,7,12
2012/2013,VfL Wolfsburg,3,7,10
2013/2014,Ajax,13,7,20
2013/2014,Athletic Club de Bilbao,13,7,20
2013/2014,BSC Young Boys,10,7,17
2013/2014,FC Schalke 04,12,7,19
2013/2014,Inter,8,7,15
2013/2014,LOSC Lille,13,7,20
2013/2014,Newcastle United,8,7,15
2013/2014,PSV,11,7,18
2013/2014,Ruch Chorzów,7,7,14
2013/2014,SC Heerenveen,9,7,16
2013/2014,Sevilla FC,11,7,18
2013/2014,Southampton,8,7,15
2013/2014,Toulouse FC,5,7,12
2013/2014,VfL Wolfsburg,11,7,18
2013/2014,Vitesse,8,7,15
2014/2015,AS Saint-Étienne,12,7,19
2014/2015,Athletic Club de Bilbao,8,7,15
2014/2015,BSC Young Boys,12,7,19
2014/2015,Bayer 04 Leverkusen,10,7,17
2014/2015,Borussia Mönchengladbach,12,7,19
2014/2015,CF Os Belenenses,5,7,12
2014/2015,Club Brugge KV,10,7,17
2014/2015,Crystal Palace,6,7,13
2014/2015,FC Luzern,5,7,12
2014/2015,Feyenoord,10,7,17
2014/2015,Genoa,9,7,16
2014/2015,Hamilton Academical FC,8,7,15
2014/2015,Inter,7,7,14
2014/2015,KAA Gent,9,7,16
2014/2015,Legia Warszawa,10,7,17
2014/2015,Napoli,11,7,18
2014/2015,OGC Nice,6,7,13
2014/2015,Rayo Vallecano,8,7,15
2014/2015,Southampton,11,7,18
2014/2015,Swansea City,9,7,16
2014/2015,Valencia CF,15,7,22
2014/2015,VfL Wolfsburg,13,7,20
2015/2016,AS Monaco,10,7,17
2015/2016,AS Saint-Étienne,10,7,17
2015/2016,Angers SCO,6,7,13
2015/2016,Athletic Club de Bilbao,11,7,18
2015/2016,Chelsea,5,7,12
2015/2016,Club Brugge KV,14,7,21
2015/2016,FC Luzern,8,7,15
2015/2016,FC Schalke 04,8,7,15
2015/2016,Fiorentina,11,7,18
2015/2016,Hamilton Academical FC,4,7,11
2015/2016,Heart of Midlothian,11,7,18
2015/2016,Inter,13,7,20
2015/2016,Inverness Caledonian Thistle,7,7,14
2015/2016,KAA Gent,10,7,17
2015/2016,Lech Poznań,6,7,13
2015/2016,Manchester City,12,7,19
2015/2016,Manchester United,12,7,19
2015/2016,Motherwell,8,7,15
2015/2016,Olympique Lyonnais,12,7,19
2015/2016,Olympique de Marseille,3,7,10
2015/2016,SM Caen,9,7,16
2015/2016,SV Darmstadt 98,2,7,9
2015/2016,Southampton,11,7,18
2015/2016,Stade Rennais FC,6,7,13
2015/2016,West Ham United,9,7,16
2008/2009,Dundee United,7,6,13
2008/2009,FC Groningen,11,6,17
2008/2009,Hamburger SV,13,6,19
2008/2009,Inverness Caledonian Thistle,4,6,10
2008/2009,KV Mechelen,6,6,12
2008/2009,Legia Warszawa,12,6,18
2008/2009,Motherwell,7,6,13
2008/2009,NAC Breda,7,6,13
2008/2009,OGC Nice,7,6,13
2008/2009,RC Deportivo de La Coruña,10,6,16
2008/2009,Real Betis Balompié,4,6,10
2008/2009,Real Sporting de Gijón,8,6,14
2008/2009,SC Heerenveen,11,6,17
2008/2009,Sporting Lokeren,7,6,13
2008/2009,St. Mirren,3,6,9
2008/2009,TSG 1899 Hoffenheim,9,6,15
2008/2009,Toulouse FC,10,6,16
2008/2009,Valencia CF,12,6,18
2008/2009,Villarreal CF,12,6,18
2008/2009,Wisła Kraków,13,6,19
2009/2010,1. FC Köln,3,6,9
2009/2010,Borussia Dortmund,10,6,16
2009/2010,Chievo Verona,6,6,12
2009/2010,FC Lorient,10,6,16
2009/2010,FC St. Gallen,7,6,13
2009/2010,FC Utrecht,8,6,14
2009/2010,Getafe CF,11,6,17
2009/2010,Heracles Almelo,11,6,17
2009/2010,Hibernian,9,6,15
2009/2010,Lazio,5,6,11
2009/2010,Legia Warszawa,9,6,15
2009/2010,Manchester City,12,6,18
2009/2010,Napoli,9,6,15
2009/2010,Ruch Chorzów,10,6,16
2009/2010,Sampdoria,13,6,19
2009/2010,Sint-Truidense VV,6,6,12
2009/2010,St. Johnstone FC,6,6,12
2009/2010,TSG 1899 Hoffenheim,5,6,11
2010/2011,ADO Den Haag,10,6,16
2010/2011,Athletic Club de Bilbao,12,6,18
2010/2011,Club Brugge KV,10,6,16
2010/2011,FC Bayern Munich,13,6,19
2010/2011,FC Sion,9,6,15
2010/2011,FC Thun,5,6,11
2010/2011,KAA Gent,11,6,17
2010/2011,KVC Westerlo,5,6,11
2010/2011,Málaga CF,7,6,13
2010/2011,Olympique Lyonnais,11,6,17
2010/2011,Palermo,11,6,17
2010/2011,Paris Saint-Germain,9,6,15
2010/2011,Polonia Bytom,13,6,19
2010/2011,Stade Rennais FC,9,6,15
2010/2011,Toulouse FC,8,6,14
2010/2011,Wisła Kraków,11,6,17
2010/2011,Śląsk Wrocław,7,6,13
2011/2012,1. FC Nürnberg,6,6,12
2011/2012,AZ,13,6,19
2011/2012,BSC Young Boys,7,6,13
2011/2012,Bolton Wanderers,4,6,10
2011/2012,CD Nacional,7,6,13
2011/2012,Chelsea,12,6,18
2011/2012,FC Sion,9,6,15
2011/2012,Hibernian,2,6,8
2011/2012,KSV Cercle Brugge,7,6,13
2011/2012,Korona Kielce,7,6,13
2011/2012,Napoli,10,6,16
2011/2012,Olympique Lyonnais,13,6,19
2011/2012,PSV,15,6,21
2011/2012,Real Betis Balompié,7,6,13
2011/2012,Roma,10,6,16
2011/2012,S.C. Olhanense,3,6,9
2011/2012,Sporting CP,12,6,18
2011/2012,TSG 1899 Hoffenheim,4,6,10
2011/2012,Valencia CF,11,6,17
2011/2012,Vitesse,9,6,15
2011/2012,Vitória Guimarães,8,6,14
2011/2012,Wigan Athletic,5,6,11
2012/2013,Chievo Verona,6,6,12
2012/2013,FC Groningen,6,6,12
2012/2013,FC Paços de Ferreira,8,6,14
2012/2013,FC Schalke 04,10,6,16
2012/2013,FC Sion,7,6,13
2012/2013,Hamburger SV,8,6,14
2012/2013,Hibernian,7,6,13
2012/2013,Inverness Caledonian Thistle,7,6,13
2012/2013,Kilmarnock,5,6,11
2012/2013,Málaga CF,10,6,16
2012/2013,N.E.C.,4,6,10
2012/2013,P. Warszawa,5,6,11
2012/2013,Podbeskidzie Bielsko-Biała,2,6,8
2012/2013,SC Freiburg,8,6,14
2012/2013,Standard de Liège,9,6,15
2012/2013,Toulouse FC,7,6,13
2012/2013,Valencia CF,13,6,19
2013/2014,1. FSV Mainz 05,10,6,16
2013/2014,FC Augsburg,9,6,15
2013/2014,FC Luzern,9,6,15
2013/2014,FC Porto,13,6,19
2013/2014,Hellas Verona,10,6,16
2013/2014,Heracles Almelo,4,6,10
2013/2014,Olympique de Marseille,10,6,16
2013/2014,Parma,9,6,15
2013/2014,Partick Thistle F.C.,2,6,8
2013/2014,Rio Ave FC,2,6,8
2013/2014,Stade Rennais FC,5,6,11
2013/2014,Torino,9,6,15
2014/2015,Chievo Verona,4,6,10
2014/2015,Dundee FC,5,6,11
2014/2015,En Avant de Guingamp,9,6,15
2014/2015,FC Augsburg,9,6,15
2014/2015,FC Lorient,6,6,12
2014/2015,Heracles Almelo,5,6,11
2014/2015,Jagiellonia Białystok,8,6,14
2014/2015,Manchester United,14,6,20
2014/2015,Málaga CF,8,6,14
2014/2015,Polonia Bytom,5,6,11
2014/2015,SC Braga,11,6,17
2014/2015,Sampdoria,7,6,13
2014/2015,Sporting Charleroi,8,6,14
2014/2015,St. Mirren,3,6,9
2014/2015,Torino,8,6,14
2015/2016,1. FSV Mainz 05,8,6,14
2015/2016,ADO Den Haag,4,6,10
2015/2016,Bologna,5,6,11
2015/2016,Bournemouth,5,6,11
2015/2016,Chievo Verona,7,6,13
2015/2016,FC Augsburg,3,6,9
2015/2016,FC Paços de Ferreira,7,6,13
2015/2016,FC Utrecht,9,6,15
2015/2016,Grasshopper Club Zürich,9,6,15
2015/2016,Hamburger SV,5,6,11
2015/2016,Korona Kielce,3,6,9
2015/2016,LOSC Lille,9,6,15
2015/2016,Milan,9,6,15
2015/2016,Moreirense FC,3,6,9
2015/2016,OGC Nice,12,6,18
2015/2016,Partick Thistle F.C.,6,6,12
2015/2016,Podbeskidzie Bielsko-Biała,3,6,9
2015/2016,Real Sociedad,7,6,13
2015/2016,Stoke City,8,6,14
2015/2016,Torino,6,6,12
2015/2016,Villarreal CF,12,6,18
2015/2016,Watford,6,6,12
2015/2016,Zagłębie Lubin,6,6,12
2008/2009,AS Nancy-Lorraine,5,5,10
2008/2009,Aberdeen,9,5,14
2008/2009,Chievo Verona,3,5,8
2008/2009,FC Lorient,5,5,10
2008/2009,FC Schalke 04,9,5,14
2008/2009,Hamilton Academical FC,7,5,12
2008/2009,Heart of Midlothian,11,5,16
2008/2009,Hibernian,6,5,11
2008/2009,Hull City,3,5,8
2008/2009,KSV Cercle Brugge,9,5,14
2008/2009,KVC Westerlo,10,5,15
2008/2009,Kilmarnock,7,5,12
2008/2009,LOSC Lille,12,5,17
2008/2009,RCD Mallorca,9,5,14
2008/2009,Roma,13,5,18
2008/2009,SC Braga,8,5,13
2008/2009,Udinese,11,5,16
2008/2009,VfL Wolfsburg,16,5,21
2008/2009,Vitória Guimarães,5,5,10
2008/2009,West Ham United,9,5,14
2009/2010,AS Saint-Étienne,5,5,10
2009/2010,Birmingham City,8,5,13
2009/2010,Eintracht Frankfurt,7,5,12
2009/2010,Everton,11,5,16
2009/2010,FC Groningen,9,5,14
2009/2010,FC Luzern,12,5,17
2009/2010,Hamburger SV,8,5,13
2009/2010,Lechia Gdańsk,4,5,9
2009/2010,Liverpool,13,5,18
2009/2010,Motherwell,8,5,13
2009/2010,Palermo,13,5,18
2009/2010,Racing Santander,4,5,9
2009/2010,Roda JC Kerkrade,9,5,14
2009/2010,Sporting CP,8,5,13
2009/2010,Zagłębie Lubin,3,5,8
2010/2011,AS Nancy-Lorraine,8,5,13
2010/2011,AS Saint-Étienne,7,5,12
2010/2011,Aberdeen,6,5,11
2010/2011,Blackpool,5,5,10
2010/2011,Borussia Mönchengladbach,5,5,10
2010/2011,Chievo Verona,6,5,11
2010/2011,FC Groningen,12,5,17
2010/2011,FC Luzern,8,5,13
2010/2011,FC Sochaux-Montbéliard,12,5,17
2010/2011,FC St. Gallen,3,5,8
2010/2011,Hamburger SV,7,5,12
2010/2011,Hibernian,5,5,10
2010/2011,KV Mechelen,8,5,13
2010/2011,Korona Kielce,5,5,10
2010/2011,Legia Warszawa,10,5,15
2010/2011,Liverpool,12,5,17
2010/2011,Manchester United,18,5,23
2010/2011,Montpellier Hérault SC,7,5,12
2010/2011,Motherwell,8,5,13
2010/2011,Newcastle United,6,5,11
2010/2011,P. Warszawa,7,5,12
2010/2011,SC Freiburg,8,5,13
2010/2011,SM Caen,6,5,11
2010/2011,St. Johnstone FC,6,5,11
2010/2011,Stade Brestois 29,6,5,11
2010/2011,Standard de Liège,10,5,15
2010/2011,Sunderland,7,5,12
2010/2011,VfB Stuttgart,7,5,12
2010/2011,Villarreal CF,13,5,18
2010/2011,Vitória Guimarães,7,5,12
2011/2012,AS Nancy-Lorraine,6,5,11
2011/2012,CS Marítimo,9,5,14
2011/2012,Everton,10,5,15
2011/2012,FC Luzern,9,5,14
2011/2012,FC Thun,6,5,11
2011/2012,Hamburger SV,3,5,8
2011/2012,Inverness Caledonian Thistle,5,5,10
2011/2012,Lecce,3,5,8
2011/2012,Levante UD,11,5,16
2011/2012,N.E.C.,8,5,13
2011/2012,Norwich City,7,5,12
2011/2012,Parma,10,5,15
2011/2012,Podbeskidzie Bielsko-Biała,4,5,9
2011/2012,RCD Mallorca,9,5,14
2011/2012,Rayo Vallecano,8,5,13
2011/2012,Sporting Lokeren,6,5,11
2011/2012,Toulouse FC,10,5,15
2011/2012,Udinese,13,5,18
2011/2012,VfB Stuttgart,10,5,15
2011/2012,Wisła Kraków,7,5,12
2011/2012,Zagłębie Lubin,6,5,11
2012/2013,AS Saint-Étienne,11,5,16
2012/2013,AZ,5,5,10
2012/2013,Aberdeen,6,5,11
2012/2013,Aston Villa,5,5,10
2012/2013,Atalanta,6,5,11
2012/2013,Bologna,6,5,11
2012/2013,CD Nacional,6,5,11
2012/2013,CS Marítimo,4,5,9
2012/2013,Eintracht Frankfurt,9,5,14
2012/2013,FC Thun,8,5,13
2012/2013,Girondins de Bordeaux,8,5,13
2012/2013,Granada CF,6,5,11
2012/2013,KRC Genk,10,5,15
2012/2013,KV Mechelen,7,5,12
2012/2013,Lazio,13,5,18
2012/2013,PEC Zwolle,5,5,10
2012/2013,Polonia Bytom,7,5,12
2012/2013,RCD Espanyol,6,5,11
2012/2013,Ross County FC,8,5,13
2012/2013,St. Johnstone FC,9,5,14
2012/2013,Swansea City,6,5,11
2012/2013,Vitória Guimarães,6,5,11
2012/2013,West Bromwich Albion,9,5,14
2012/2013,Wigan Athletic,4,5,9
2013/2014,Borussia Mönchengladbach,11,5,16
2013/2014,Cracovia,6,5,11
2013/2014,Crystal Palace,8,5,13
2013/2014,Dundee United,11,5,16
2013/2014,FC Aarau,7,5,12
2013/2014,FC Groningen,9,5,14
2013/2014,FC Lorient,8,5,13
2013/2014,FC Nantes,8,5,13
2013/2014,Getafe CF,6,5,11
2013/2014,Granada CF,7,5,12
2013/2014,Hertha BSC Berlin,6,5,11
2013/2014,Lazio,10,5,15
2013/2014,Levante UD,7,5,12
2013/2014,Milan,11,5,16
2013/2014,Pogoń Szczecin,6,5,11
2013/2014,Rayo Vallecano,8,5,13
2013/2014,Real Sociedad,11,5,16
2013/2014,Sampdoria,7,5,12
2013/2014,St. Johnstone FC,10,5,15
2013/2014,Stade de Reims,7,5,12
2013/2014,Sunderland,5,5,10
2013/2014,Swansea City,6,5,11
2013/2014,UD Almería,6,5,11
2013/2014,Vitória Guimarães,5,5,10
2014/2015,1. FC Köln,4,5,9
2014/2015,Aston Villa,5,5,10
2014/2015,Dundee United,12,5,17
2014/2015,Elche CF,6,5,11
2014/2015,Everton,7,5,12
2014/2015,FC St. Gallen,8,5,13
2014/2015,FC Twente,8,5,13
2014/2015,FC Utrecht,6,5,11
2014/2015,Girondins de Bordeaux,12,5,17
2014/2015,KRC Genk,8,5,13
2014/2015,KV Oostende,6,5,11
2014/2015,LOSC Lille,11,5,16
2014/2015,Montpellier Hérault SC,11,5,16
2014/2015,Moreirense FC,6,5,11
