season,team,home_wins,away_wins,total_wins
2015/2016,Lechia Gdańsk,8,2,10
2015/2016,N.E.C.,11,2,13
2015/2016,Newcastle United,7,2,9
2015/2016,Polonia Bytom,2,2,4
2015/2016,Sampdoria,8,2,10
2008/2009,Amadora,7,1,8
2008/2009,Arka Gdynia,6,1,7
2008/2009,CD Numancia,9,1,10
2008/2009,CF Os Belenenses,4,1,5
2008/2009,Catania,11,1,12
2008/2009,Cracovia,6,1,7
2008/2009,FC Luzern,8,1,9
2008/2009,FC Vaduz,4,1,5
2008/2009,FC Volendam,6,1,7
2008/2009,Heracles Almelo,6,1,7
2008/2009,Torino,7,1,8
2008/2009,Tubize,6,1,7
2008/2009,Vitória Setúbal,6,1,7
2008/2009,West Bromwich Albion,7,1,8
2009/2010,Burnley,7,1,8
2009/2010,CD Tenerife,8,1,9
2009/2010,Fulham,11,1,12
2009/2010,Grenoble Foot 38,4,1,5
2009/2010,Leixões SC,4,1,5
2009/2010,RKC Waalwijk,4,1,5
2009/2010,S.C. Olhanense,4,1,5
2009/2010,Sparta Rotterdam,5,1,6
2009/2010,Sporting Lokeren,4,1,5
2009/2010,Udinese,10,1,11
2009/2010,VVV-Venlo,7,1,8
2009/2010,West Ham United,7,1,8
2009/2010,Willem II,6,1,7
2009/2010,Śląsk Wrocław,7,1,8
2010/2011,AC Arles-Avignon,2,1,3
2010/2011,Beerschot AC,4,1,5
2010/2011,Brescia,6,1,7
2010/2011,Catania,11,1,12
2010/2011,Cracovia,7,1,8
2010/2011,GKS Bełchatów,9,1,10
2010/2011,KV Kortrijk,10,1,11
2010/2011,Lierse SK,3,1,4
2010/2011,VVV-Venlo,5,1,6
2011/2012,AJ Auxerre,6,1,7
2011/2012,Cracovia,3,1,4
2011/2012,FC Lausanne-Sports,7,1,8
2011/2012,FC Lorient,8,1,9
2011/2012,GKS Bełchatów,6,1,7
2011/2012,Jagiellonia Białystok,10,1,11
2011/2012,KVC Westerlo,4,1,5
2011/2012,Palermo,10,1,11
2011/2012,Racing Santander,3,1,4
2011/2012,Rio Ave FC,6,1,7
2011/2012,Sint-Truidense VV,2,1,3
2011/2012,Stade Brestois 29,7,1,8
2011/2012,"União de Leiria, SAD",4,1,5
2011/2012,VVV-Venlo,8,1,9
2011/2012,Valenciennes FC,11,1,12
2012/2013,Palermo,5,1,6
2012/2013,Roda JC Kerkrade,6,1,7
2012/2013,Sevilla FC,13,1,14
2012/2013,Vitória Setúbal,6,1,7
2013/2014,AC Ajaccio,3,1,4
2013/2014,CF Os Belenenses,5,1,6
2013/2014,Cagliari,8,1,9
2013/2014,Catania,7,1,8
2013/2014,Eintracht Braunschweig,5,1,6
2013/2014,FC Utrecht,10,1,11
2013/2014,KAA Gent,2,1,3
2013/2014,N.E.C.,4,1,5
2013/2014,Real Betis Balompié,5,1,6
2013/2014,Real Valladolid,6,1,7
2013/2014,S.C. Olhanense,5,1,6
2013/2014,Zagłębie Lubin,6,1,7
2014/2015,ADO Den Haag,8,1,9
2014/2015,Boavista FC,8,1,9
2014/2015,Cesena,3,1,4
2014/2015,FC Aarau,5,1,6
2014/2015,FC Dordrecht,3,1,4
2014/2015,FC Metz,6,1,7
2014/2015,Parma,5,1,6
2014/2015,Royal Excel Mouscron,6,1,7
2014/2015,Vitória Setúbal,6,1,7
2015/2016,Aston Villa,2,1,3
2015/2016,Hellas Verona,4,1,5
2015/2016,Levante UD,7,1,8
2015/2016,Oud-Heverlee Leuven,6,1,7
2015/2016,Rayo Vallecano,8,1,9
2015/2016,SC Cambuur,2,1,3
2015/2016,Uniao da Madeira,6,1,7
2008/2009,Jagiellonia Białystok,9,0,9
2008/2009,RAEC Mons,3,0,3
2008/2009,Valenciennes FC,10,0,10
2009/2010,Hull City,6,0,6
2010/2011,Arka Gdynia,6,0,6
2010/2011,Sporting Charleroi,4,0,4
2010/2011,Willem II,3,0,3
2011/2012,Excelsior,4,0,4
2011/2012,SV Zulte-Waregem,6,0,6
2012/2013,KSV Cercle Brugge,3,0,3
2012/2013,Korona Kielce,9,0,9
2012/2013,Willem II,5,0,5
2013/2014,Lierse SK,2,0,2
2013/2014,SC Cambuur,10,0,10
2013/2014,Waasland-Beveren,1,0,1
2013/2014,Widzew Łódź,5,0,5
2015/2016,Académica de Coimbra,5,0,5
2015/2016,Sevilla FC,14,0,14
